id, name, lat, lng
27, Pedra do Leme, -22.961867916913636, -43.16544052070683
28, Praca Demetrio= Ribeiro, -22.961735902620042, -43.17562011716942
29, Praca Manuel Campos da Paz, -22.96698117288768, -43.18162273369719
30, Santa Clara, -22.97052777558502, -43.187558442063725
32, Bolivar, -22.97583430506085, -43.18886793006423
33, Almirante Goncalves, -22.97986213104552, -43.190492439039346
34, Conselheiro Lafaiete, -22.986206337470993, -43.191966623782506
35, Pedra do Arpoador, -22.98872670347486, -43.19156882790107
36, Joaquim Nabuco, -22.987182102374025, -43.19634830227447
37, Posto 9, -22.98591380274407, -43.20080680575922
38, Garcia D Avila, -22.985623750479768, -43.20918475350113
39, Anibal de Mendonca, -22.985201855119072, -43.21151912182871
40, Afranio, -22.986006091995016, -43.21750541611699
41, Maria Quiteria, -22.980376333209318, -43.20693631284206
42, Metro Lagoa, -22.978824222478668, -43.20098641862134
43, Parque da Catacumba, -22.975398847163607, -43.20019082685846
44, Epitafio Pessoa 4224, -22.969517339791768, -43.20580676873861
45, Epitafio Pessoa 4794, -22.965305333797822, -43.203548692106324
46, Clube Piraque, -22.966253584943626, -43.21662680291291
47, Parque dos Partins, -22.972346599052372, -43.217462452264286
48, Parque das Figueiras, -22.97573229880114, -43.218508261858794
49, Shopping da Gavea, -22.97529081266971, -43.228255811695036
50, Praca Sibelius, -22.977519474540433, -43.22636609845253
76, Baixo Gavea, -22.97290724115181, -43.22483827513621
77, Cine Leblon, -22.980789596722094, -43.22121192856711
81, General Venancio Flores, -22.986058604010164, -43.224477061815364
82, Antero de Quental, -22.98485912522827, -43.22290312730234
83, Cupertino Durao, -22.986454353103014, -43.22018349511856
84, Ataulfo de Paiva, -22.983659288972703, -43.21971089294181
85, Jardim de Alah, -22.983632920167793, -43.21574389891275
86, Henrique Dumont, -22.98580832926855, -43.213867811483844
87, Barao da Torre 631, -22.982657270767685, -43.212335434728935
88, Barao da Torre 577, -22.982736377755447, -43.20925635989154
89, Praca Nossa Senhora da Paz, -22.98404163608266, -43.206549638333804
90, Joana Angelica, -22.984555825297075, -43.20516047435688
91, Visconde de Piraja, -22.984199848359026, -43.20272585708272
92, Alberto de Campos, -22.981022383023962, -43.202783142195045
93, Praca Nossa Senohra Auxiliadora, -22.9775102765732, -43.22213460846339
94, Farme de amoedo 118, -22.98223536612743, -43.20059198658798
95, General Osorio, -22.984564768321444, -43.19702689525706
96, Posto 6, -22.986335588153725, -43.18934585091657
97, Julio de Castilhos, -22.983782864269667, -43.19041053989335
98, Bulhoes de Carvalho, -22.98446782907435, -43.193224434617306
99, Sa Ferreira, -22.98187198493714, -43.194780518506455
100, Souza Lima, -22.98171479935295, -43.19065623734347
101, Leopoldo Miguez, -22.977359575196964, -43.1916507301431
102, Metro Cantagalo, -22.976390127654902, -43.193850307369864
103, Barao de Ipanema, -22.974188687221, -43.19077959136537
105, Dias da Rocha, -22.972921459827237, -43.18857162256255
107, Figueiredo Magalhaes, -22.96584588837328, -43.18944142844842
109, Metro Siqueira Campos, -22.967438804262986, -43.18725257625861
111, Siqueira Campos, -22.97012295712022, -43.18373511945551
113, Republica do Peru, -22.96582828698547, -43.18324764580316
114, Cardeal Arcoverde, -22.964939414043958, -43.18070513627264
115, Rodolfo Dantas, -22.965872290444626, -43.179214040457744
116, Praca do Lido, -22.964692992720146, -43.17554365071738
117, Antonio Vieira, -22.964050535191102, -43.17238940957049
118, Anchieta, -22.96321445571716, -43.17008585766861
146, Planetario da Gavea, -22.97901481415839, -43.23089516324862
147, General Artigas, -22.983467716497486, -43.22632200492003
148, Bartolomeu Mitre, -22.98145254741024, -43.22373699989202
149, Rainha Guilhermina, -22.985150716556465, -43.226432179035264
150, Praca Atahualpa, -22.987943033600885, -43.22741308641227
151, Shopping Leblon, -22.982037597895232, -43.218063945962236
152, Parque Brig. Faria Lima, -22.978596807284564, -43.21713497085037
153, Epitacio Pessoa, -22.98034996376363, -43.210702808977956
154, Curva do Calombo, -22.973707670706084, -43.205174975277956
155, Viaduto Saint Hilaire, -22.962909290662395, -43.2042296793139
157, Borges de Medeiros, -22.962786078240686, -43.20721187094369
158, Lagoa Vasco da Gama, -22.962803680022095, -43.209247790229405
119, Parque Lage, -22.961166704503906, -43.21169471672385
159, Hospital da Lagoa, -22.962557254845827, -43.216139329274846
160, Lineu de Paula Machado, -22.96414140869551, -43.2162253540324
161, Jd. Botanico 716, -22.965364714798113, -43.21879653848971
162, Pacheco Leao, -22.965118294323865, -43.22235222852379
163, Viuva Lacerda, -22.956898459830125, -43.19886616888335
256, Humaita, -22.96022154592069, -43.20261834374117
278, Roberto Dias Lopes, -22.96329366350082, -43.17291511642831
294, Largo da Memoria, -22.97877460220253, -43.22455932540013
295, Clube Caicaras, -22.980414257042025, -43.213122386185134
296, Parque dos Pedalinhos, -22.973438373168566, -43.20175861062648
297, Nascimento Bitencourt, -22.960841067235222, -43.21453353375605
298, Xavier da Silveira, -22.977090284910705, -43.18960325134158
303, Carvalho de Mendonca, -22.965273842143308, -43.17832511793996
305, Tunel Velho, -22.96377770987274, -43.19250964483733
329, Duvivier, -22.96605710478703, -43.1775604534195
344, Piraja 153, -22.98441079773431, -43.19984728012765
345, Padre Leonel Franca, -22.97864098080529, -43.22880242296353
350, Hilario de Gouveia, -22.96961253212672, -43.18275061386487
351, Constante Ramos, -22.974426291034547, -43.18783563296161
352, Gomes Carneiro, -22.986126558127573, -43.19745979076673
353, Janeiro Hotel, -22.986413647686536, -43.22268423574754
355, Colegio Sao Paulo, -22.987494455722402, -43.195131514872436
373, Instituto de Pesquisa Jardim Botanico, -22.9652808248195, -43.22775488355205
382, Mirante da Niemeyer, -22.99015053161977, -43.2283848525136
400, Maria Angelica, -22.96084106728143, -43.20761331981693
403, Martim Afonso, -22.96176230546002, -43.16700808297376
449, Sergio Porto, -22.958863310281217, -43.199940264739595
450, Novotel Leme, -22.961850315010427, -43.168355804191066
451, Viveiros de Castro, -22.9636720999137, -43.17642301494532
452, Tonelero, -22.966699552784103, -43.18495858268097
453, Museu da Imagem e do Sim MIS, -22.97893221974355, -43.18959155145842
454, Copanema, -22.983692312399477, -43.19348183195236
455, Largo Fernando Torres, -22.98066639677508, -43.20415798489104
505, Prado Junior, -22.96490421096703, -43.17412902135453
515, Praca do Ipe, -22.97668552795044, -43.23069213620603
